1,あ,"M13,33c0.88,0.88,2.75,1.82,5.25,1.75c8.62-0.25,20-2.12,29.5-4.25c1.51-0.34,4.62-0.88,6.62-0.5
M31.75,17.62c0.88,1,1.82,3.26,1.38,5.25C29.38,39.62,26.88,61,28,76.5c0.41,5.7,1.88,10.88,3.38,13.62
M47.62,44.12c0.75,1.12,1.16,4.39,0.5,6.12C43.5,62.5,36.88,74,22.75,86c-6.86,5.83-15.88,3.75-16.25-8.38C6.16,66.75,19.88,54.5,38.88,50.88c12.42-2.37,27,1.38,30.5,12.75C73.43,76.81,65.62,90,48.5,94.12"
2,い,"M8.54,29.66c2.01,2.17,2.61,4.68,2.17,7.43C7.62,56.25,9.68,69.1,18.64,78.54c6.12,6.45,6.26,3.14,7.04-5.21
M60,36.51c9.44,8.05,17.79,18.82,18.41,33.83"
3,う,"M15.5,15.5c5.62,2.12,9.62,3,12.88,3c8.27,0,8,1.12-0.38,5.5
M6.5,42.38c2.12,1.12,4.12,2.88,8.5,1.38s12.75-7.12,18.5-7s10.25,5,10.25,18C43.75,70.25,35.5,85,19.38,96"
4,え,"M22,13.25c5.62,2.12,10,3,14.12,3c8.27,0,8,1.12-0.38,5.5
M14,45.12c1.88,1.25,4.5,1.75,7.38,0.62c3.29-1.29,17-7.88,21.25-9.88s8.32,0.04,4.38,4.62C34.75,54.75,19.75,72,7.5,84.88C4.24,88.3,6.92,88.42,9,86.25c13.5-14.12,18.12-20.12,23.62-20.12c7.13,0,3.5,16.75,6.75,22.38s19.12,3.75,26.12,2.12"
5,お,"M7.88,35.12c1.38,1,3.62,2.38,6,2.12S33.5,32.12,35,31.5s4-1.25,5.88-2
M26.5,16.12c2.25,1,3.59,4.39,3.12,7.38c-2.5,16.12-3.37,45.53-2.25,58.38c0.75,8.62-0.64,10.45-7.12,7.12C15.12,86.38,6.5,81,6.5,76.62C6.5,69.12,30.88,53,51.25,53c17.25,0,25,8.25,25,17.25c0,8.25-9.38,18.88-26.75,21
M58,22.12c5.38,2.62,8.88,5.88,10.62,8.25c2.27,3.08,0.38,4.5-1.12,5"
6,か,"M10.5,38.62c1.88,1.62,4.65,2.33,8.62,1c25.5-8.5,29.5-4.13,29.5,7.62c0,9.38-1.24,17.46-4.25,25.25C36.75,92.25,33.5,89.88,28.25,83.38
M34.38,17.5c1,1.38,1.29,4.7,0.5,7.12c-5,15.25-18.02,40.93-19.62,43.88c-3.12,5.75-6.38,11.88-9.38,16.25
M63.25,31.62c7.5,6.88,13.25,15.75,15,24.88"
7,き,"M7.25,30.25c1.88,0.75,4.64,1.06,5.88,0.88c6.75-1,22.25-4.5,26.5-6c2.17-0.76,3.5-1.25,4.88-2.12
M13,48.7c2.01,0.85,4.97,1.2,6.29,0.99c7.23-1.13,23.82-5.09,28.37-6.79c2.32-0.86,3.75-1.41,5.22-2.4
M18.75,14.12c1.5,0.88,3.13,2.94,4,5.12C28.25,33,38.75,48.5,49.12,60c7.64,8.47,9.12,9.38-6,3.88
M10.5,83.25c10.62,9.75,27.25,8.62,38.12,5"
8,く,"M29.5,15c0.5,1.62,0.35,5.44-1,7.38C21.75,32,14.2,41.46,9.88,46.88c-4,5-3.79,7.03-0.88,11c5.5,7.5,12.75,18.75,17.62,27.25c1.48,2.59,2.75,4.75,4.5,8.62"
9,け,"M11.12,19.75c1.25,1.5,2.62,3.75,2.12,6.38c-3,15.88-6.5,29.5-4.88,44.62c2.02,18.84,2.25,4.75,6.75-3.5
M40.12,38.62c2.12,1.38,4.28,1.89,6.88,1.5c8.25-1.25,15.39-2.57,20.62-4C70.38,35.38,72.88,35,74.5,35
M58.12,14.38C60.25,15.75,61,17.73,61,19.5c0,11.62,0.12,20.38,0.12,30.12c0,20.75-0.62,30.88-12.5,42.25"
10,こ,"M11,26.75c1.12,0.88,2.91,2.01,6,1.5c7.62-1.25,14.11-2.56,22.38-2.62c15.5-0.12,5.88,5-5.75,9
M6.25,68.12c2.25,14.5,15.26,17.96,31,16.75c6.5-0.5,11.88-1.25,17.62-2.88"
